tracer_type,x_kpc,y_kpc,z_kpc,distance_basis,source_record
hii_region,0.50931,5.37425,-0.03882,kinematic,tablea1.dat:277
hii_region,0.90128,3.17916,-0.06825,photometric_or_trigonometric,tablea1.dat:281
hii_region,0.88230,3.28751,-0.06734,kinematic,tablea1.dat:283
hii_region,2.00618,-3.08459,-0.00605,kinematic,tablea1.dat:284
hii_region,0.86575,3.42643,-0.03559,photometric_or_trigonometric,tablea1.dat:286
hii_region,0.75226,4.07683,0.05541,kinematic,tablea1.dat:290
hii_region,0.87307,3.42770,-0.03015,photometric_or_trigonometric,tablea1.dat:291
hii_region,0.87569,3.42821,-0.03680,photometric_or_trigonometric,tablea1.dat:303
hii_region,0.90312,3.28067,-0.02670,kinematic,tablea1.dat:306
hii_region,4.35445,-15.90104,-0.12875,kinematic,tablea1.dat:307
hii_region,0.87971,3.42880,-0.00691,photometric_or_trigonometric,tablea1.dat:309
hii_region,1.52377,-0.11312,0.01119,photometric_or_trigonometric,tablea1.dat:311
hii_region,2.83780,-7.29372,-0.07248,kinematic,tablea1.dat:313
hii_region,0.88625,3.43004,-0.02264,photometric_or_trigonometric,tablea1.dat:314
hii_region,0.88634,3.43002,-0.01296,photometric_or_trigonometric,tablea1.dat:316
hii_region,1.55195,-0.10797,0.00358,photometric_or_trigonometric,tablea1.dat:326
hii_region,0.91198,3.43485,-0.03317,photometric_or_trigonometric,tablea1.dat:333
hii_region,2.95726,-7.44421,-0.12135,kinematic,tablea1.dat:343
hii_region,0.91596,3.43565,-0.04035,photometric_or_trigonometric,tablea1.dat:344
hii_region,0.91812,3.43589,0.00268,photometric_or_trigonometric,tablea1.dat:346
hii_region,2.01726,-2.24885,-0.00150,kinematic,tablea1.dat:347
hii_region,0.36263,6.40638,-0.08728,kinematic,tablea1.dat:348
hii_region,0.96636,3.26185,-0.01110,kinematic,tablea1.dat:349
hii_region,2.57365,-5.09498,0.02024,kinematic,tablea1.dat:351
hii_region,0.30353,6.72972,-0.04579,photometric_or_trigonometric,tablea1.dat:352
hii_region,2.58137,-5.02221,0.00213,kinematic,tablea1.dat:353
hii_region,0.99042,3.25645,-0.03588,kinematic,tablea1.dat:358
hii_region,0.96205,3.44440,0.00760,photometric_or_trigonometric,tablea1.dat:364
hii_region,0.24910,7.07550,-0.03239,photometric_or_trigonometric,tablea1.dat:367
hii_region,1.03717,3.23520,0.03068,kinematic,tablea1.dat:369
hii_region,0.32450,6.73399,-0.04808,photometric_or_trigonometric,tablea1.dat:371
hii_region,1.05663,3.22891,-0.00353,kinematic,tablea1.dat:375
hii_region,0.49477,5.95176,0.03129,photometric_or_trigonometric,tablea1.dat:379
hii_region,0.82309,4.40628,-0.04279,kinematic,tablea1.dat:383
hii_region,2.52693,-3.64566,-0.00788,kinematic,tablea1.dat:388
hii_region,2.93814,-5.58243,-0.03938,kinematic,tablea1.dat:391
hii_region,0.91175,4.00576,-0.01877,kinematic,tablea1.dat:392
hii_region,1.96463,-0.92307,-0.00510,photometric_or_trigonometric,tablea1.dat:393
hii_region,2.76924,-4.50393,-0.02652,kinematic,tablea1.dat:398
hii_region,0.66403,5.28232,0.02750,kinematic,tablea1.dat:406
hii_region,4.39353,-11.63150,-0.01496,kinematic,tablea1.dat:408
hii_region,0.51711,5.95683,-0.04662,photometric_or_trigonometric,tablea1.dat:409
hii_region,0.51722,5.95654,-0.02593,photometric_or_trigonometric,tablea1.dat:413
hii_region,1.14137,3.20632,0.00638,kinematic,tablea1.dat:418
hii_region,2.85125,-4.42446,-0.00455,kinematic,tablea1.dat:419
hii_region,2.40798,-2.40245,0.00191,kinematic,tablea1.dat:422
hii_region,0.52841,5.95907,-0.02890,photometric_or_trigonometric,tablea1.dat:423
hii_region,0.52947,5.95914,-0.00641,photometric_or_trigonometric,tablea1.dat:425
hii_region,0.53015,5.95934,0.01550,photometric_or_trigonometric,tablea1.dat:427
hii_region,3.07253,-5.24567,0.08000,kinematic,tablea1.dat:429
hii_region,0.53200,5.95972,-0.00855,photometric_or_trigonometric,tablea1.dat:431
hii_region,0.53437,5.96027,-0.00963,photometric_or_trigonometric,tablea1.dat:442
hii_region,0.53533,5.96056,0.02052,photometric_or_trigonometric,tablea1.dat:444
hii_region,0.53616,5.96068,-0.01160,photometric_or_trigonometric,tablea1.dat:445
hii_region,2.78499,-3.63945,-0.03210,kinematic,tablea1.dat:449
hii_region,1.04019,3.86023,0.00358,kinematic,tablea1.dat:450
hii_region,2.69614,-3.18782,-0.02966,kinematic,tablea1.dat:455
hii_region,0.55323,5.96514,0.04859,photometric_or_trigonometric,tablea1.dat:461
hii_region,3.19135,-5.11563,0.01709,kinematic,tablea1.dat:463
hii_region,0.46288,6.37492,-0.01417,photometric_or_trigonometric,tablea1.dat:465
hii_region,0.46340,6.37500,-0.00643,photometric_or_trigonometric,tablea1.dat:466
hii_region,1.25367,3.16075,-0.02244,kinematic,tablea1.dat:471
hii_region,0.47356,6.37765,-0.02637,photometric_or_trigonometric,tablea1.dat:473
hii_region,1.03354,4.11581,0.02121,kinematic,tablea1.dat:475
hii_region,0.80397,5.04790,-0.00099,kinematic,tablea1.dat:482
hii_region,1.27227,3.15516,-0.04394,kinematic,tablea1.dat:483
hii_region,0.83209,4.96216,-0.00769,kinematic,tablea1.dat:484
hii_region,0.48113,6.37943,-0.01818,photometric_or_trigonometric,tablea1.dat:487
hii_region,0.83936,4.95367,-0.00909,kinematic,tablea1.dat:488
hii_region,1.29630,3.14036,0.00845,kinematic,tablea1.dat:489
hii_region,0.48269,6.37974,-0.00380,photometric_or_trigonometric,tablea1.dat:490
hii_region,0.87338,4.83851,-0.01389,kinematic,tablea1.dat:492
hii_region,0.86324,4.88750,-0.00768,kinematic,tablea1.dat:494
hii_region,0.87209,4.85883,-0.01778,kinematic,tablea1.dat:495
hii_region,0.84894,4.97674,-0.01096,kinematic,tablea1.dat:499
hii_region,0.27719,7.21492,-0.01251,photometric_or_trigonometric,tablea1.dat:500
hii_region,0.90938,4.76510,-0.00478,kinematic,tablea1.dat:505
hii_region,0.49388,6.38272,-0.02250,photometric_or_trigonometric,tablea1.dat:506
hii_region,0.75094,5.39550,0.00052,kinematic,tablea1.dat:509
hii_region,0.81418,5.17430,0.00079,kinematic,tablea1.dat:511
hii_region,0.88630,4.90375,0.00533,kinematic,tablea1.dat:515
hii_region,0.46219,6.52942,-0.01821,photometric_or_trigonometric,tablea1.dat:520
hii_region,3.31649,-4.36240,-0.11217,kinematic,tablea1.dat:521
hii_region,3.40398,-4.47424,0.01638,kinematic,tablea1.dat:523
hii_region,0.51013,6.38697,-0.02205,photometric_or_trigonometric,tablea1.dat:524
hii_region,3.41811,-4.46011,0.01176,kinematic,tablea1.dat:525
hii_region,0.51349,6.38789,-0.02374,photometric_or_trigonometric,tablea1.dat:527
hii_region,0.51526,6.38836,-0.02350,photometric_or_trigonometric,tablea1.dat:538
hii_region,0.72951,5.60154,0.16167,photometric_or_trigonometric,tablea1.dat:547
hii_region,0.51716,6.38901,-0.03248,photometric_or_trigonometric,tablea1.dat:550
hii_region,0.51847,6.38921,-0.02160,photometric_or_trigonometric,tablea1.dat:552
hii_region,3.00945,-2.78884,-0.03108,kinematic,tablea1.dat:556
hii_region,0.51902,6.38942,-0.02654,photometric_or_trigonometric,tablea1.dat:557
hii_region,0.73601,5.59848,0.00782,photometric_or_trigonometric,tablea1.dat:560
hii_region,3.07910,-2.69697,-0.04764,kinematic,tablea1.dat:565
hii_region,1.12353,4.46105,-0.01131,photometric_or_trigonometric,tablea1.dat:570
hii_region,1.12718,4.46227,-0.03595,photometric_or_trigonometric,tablea1.dat:572
hii_region,1.13143,4.46338,-0.01389,photometric_or_trigonometric,tablea1.dat:580
hii_region,3.44707,-3.27774,-0.01054,kinematic,tablea1.dat:583
hii_region,1.14367,4.46705,-0.02262,photometric_or_trigonometric,tablea1.dat:585
hii_region,0.57245,6.40492,-0.03704,photometric_or_trigonometric,tablea1.dat:588
hii_region,3.43241,-3.05222,-0.07183,kinematic,tablea1.dat:590
hii_region,0.58256,6.38691,0.02646,photometric_or_trigonometric,tablea1.dat:592
hii_region,4.70352,-7.13943,-0.02085,kinematic,tablea1.dat:601
hii_region,0.58413,6.38748,0.03260,photometric_or_trigonometric,tablea1.dat:604
hii_region,0.58451,6.38756,0.03030,photometric_or_trigonometric,tablea1.dat:607
hii_region,0.58950,6.38904,0.02670,photometric_or_trigonometric,tablea1.dat:613
hii_region,1.15947,4.56589,-0.01331,kinematic,tablea1.dat:615
hii_region,4.87810,-7.32624,-0.04057,kinematic,tablea1.dat:618
hii_region,4.03339,-4.38411,0.03485,kinematic,tablea1.dat:626
hii_region,3.84135,-3.57319,-0.14746,kinematic,tablea1.dat:627
hii_region,4.17644,-4.57977,0.01843,kinematic,tablea1.dat:628
hii_region,3.59321,-2.70841,0.01435,kinematic,tablea1.dat:629
hii_region,1.23309,4.53693,-0.01997,kinematic,tablea1.dat:631
hii_region,1.23707,4.52767,0.00686,kinematic,tablea1.dat:638
hii_region,1.11100,4.91789,-0.02467,kinematic,tablea1.dat:639
hii_region,3.78488,-3.21380,-0.03829,kinematic,tablea1.dat:641
hii_region,1.15440,4.79526,-0.01636,kinematic,tablea1.dat:642
hii_region,4.86284,-6.45916,0.10713,kinematic,tablea1.dat:643
hii_region,0.62605,6.40166,0.06603,photometric_or_trigonometric,tablea1.dat:644
hii_region,1.17485,4.73884,-0.01944,kinematic,tablea1.dat:648
hii_region,0.91708,5.52782,-0.01993,kinematic,tablea1.dat:652
hii_region,3.74753,-3.01558,0.00541,kinematic,tablea1.dat:660
hii_region,0.92150,5.52016,0.09060,kinematic,tablea1.dat:661
hii_region,3.70711,-2.80772,-0.00143,kinematic,tablea1.dat:662
hii_region,0.92602,5.53242,0.09681,kinematic,tablea1.dat:665
hii_region,4.58593,-5.33942,0.08640,kinematic,tablea1.dat:666
hii_region,1.08687,5.07844,-0.01709,photometric_or_trigonometric,tablea1.dat:668
hii_region,3.89701,-3.23974,-0.01275,kinematic,tablea1.dat:669
hii_region,0.64039,6.40654,0.06858,photometric_or_trigonometric,tablea1.dat:673
hii_region,4.41033,-4.69168,0.06082,kinematic,tablea1.dat:677
hii_region,3.90576,-3.15212,-0.06336,kinematic,tablea1.dat:679
hii_region,1.10021,5.08306,-0.02925,photometric_or_trigonometric,tablea1.dat:680
hii_region,1.10331,5.08410,-0.02611,photometric_or_trigonometric,tablea1.dat:682
hii_region,1.10435,5.08435,-0.00113,photometric_or_trigonometric,tablea1.dat:685
hii_region,4.32718,-4.24427,0.09843,kinematic,tablea1.dat:687
hii_region,1.10937,5.08618,-0.02558,photometric_or_trigonometric,tablea1.dat:688
hii_region,1.10968,5.08638,-0.03519,photometric_or_trigonometric,tablea1.dat:689
hii_region,1.11062,5.08655,-0.01667,photometric_or_trigonometric,tablea1.dat:690
hii_region,1.42153,4.19949,-0.02575,kinematic,tablea1.dat:696
hii_region,4.14047,-3.48374,-0.00436,kinematic,tablea1.dat:699
hii_region,0.66712,6.41455,0.00482,photometric_or_trigonometric,tablea1.dat:701
hii_region,4.18006,-3.50151,-0.04217,kinematic,tablea1.dat:707
hii_region,4.22617,-3.56846,-0.19791,kinematic,tablea1.dat:710
hii_region,4.12093,-3.26779,-0.05037,kinematic,tablea1.dat:712
hii_region,3.85362,-2.51385,-0.02645,kinematic,tablea1.dat:717
hii_region,4.09816,-3.16967,-0.06484,kinematic,tablea1.dat:719
hii_region,3.93170,-2.69834,-0.02793,kinematic,tablea1.dat:720
hii_region,1.14612,5.09902,-0.01187,kinematic,tablea1.dat:722
hii_region,4.64427,-4.64175,0.06719,kinematic,tablea1.dat:727
hii_region,5.57177,-7.18807,0.08187,kinematic,tablea1.dat:729
hii_region,1.13977,5.13955,-0.04551,kinematic,tablea1.dat:732
hii_region,4.09064,-3.01261,-0.11128,kinematic,tablea1.dat:733
hii_region,4.19087,-3.16821,-0.03005,kinematic,tablea1.dat:736
hii_region,4.65020,-4.32052,0.02582,kinematic,tablea1.dat:743
hii_region,1.23631,4.95137,-0.05570,kinematic,tablea1.dat:744
hii_region,1.20249,5.04575,-0.06904,kinematic,tablea1.dat:745
hii_region,4.07121,-2.66883,-0.00286,kinematic,tablea1.dat:746
hii_region,3.81184,-1.92242,0.00476,kinematic,tablea1.dat:747
hii_region,0.69973,6.42641,0.00576,photometric_or_trigonometric,tablea1.dat:748
hii_region,1.26268,4.92872,-0.01175,kinematic,tablea1.dat:749
hii_region,4.09670,-2.55248,-0.02753,kinematic,tablea1.dat:750
hii_region,4.10301,-2.53942,-0.01760,kinematic,tablea1.dat:752
hii_region,4.87472,-4.40703,0.02185,kinematic,tablea1.dat:757
hii_region,4.65246,-3.81754,-0.01269,kinematic,tablea1.dat:760
hii_region,4.48340,-3.29309,-0.06465,kinematic,tablea1.dat:761
hii_region,1.90710,3.43016,-0.02319,kinematic,tablea1.dat:762
hii_region,1.64845,4.10229,-0.04408,kinematic,tablea1.dat:763
hii_region,3.42456,-0.36801,-0.01822,kinematic,tablea1.dat:765
hii_region,1.67921,4.04970,-0.00893,kinematic,tablea1.dat:766
hii_region,1.63921,4.17372,-0.02023,kinematic,tablea1.dat:767
hii_region,4.91724,-3.94993,0.00184,kinematic,tablea1.dat:771
hii_region,5.10855,-4.42268,-0.00909,kinematic,tablea1.dat:774
hii_region,0.93253,5.98049,-0.01606,photometric_or_trigonometric,tablea1.dat:775
hii_region,0.93571,5.98171,0.00175,photometric_or_trigonometric,tablea1.dat:778
hii_region,5.55085,-5.33323,-0.03931,kinematic,tablea1.dat:782
