name,x_kpc,y_kpc,z_kpc,parallax_mas,parallax_error_mas,arm,source_record
G030.41-00.23,2.00127,4.89156,-0.01601,0.253,0.021,ScN,table1.dat:72
G030.70-00.06,3.33714,2.68021,-0.00779,0.153,0.020,ScF,table1.dat:73
G030.74-00.04,1.56884,5.66406,-0.00281,0.326,0.055,ScN,table1.dat:74
G030.78+00.20,3.65615,2.16385,0.02538,0.140,0.032,ScN,table1.dat:75
G030.81-00.05,1.59598,5.62461,-0.00309,0.321,0.037,ScF,table1.dat:76
G030.97-00.14,1.75042,5.38363,-0.00841,0.294,0.022,ScN,table1.dat:77
G031.24-00.11,6.82457,-2.94966,-0.02545,0.076,0.014,Per,table1.dat:78
G031.28+00.06,2.47254,4.23032,0.00512,0.210,0.029,ScN,table1.dat:79
G031.41+00.30,1.95197,5.10362,0.02006,0.267,0.029,ScN,table1.dat:80
G031.58+00.07,2.86176,3.64481,0.00747,0.183,0.032,ScF,table1.dat:81
G032.04+00.05,2.67970,4.01902,0.00520,0.198,0.015,ScN,table1.dat:82
G032.74-00.07,4.29275,1.62464,-0.01047,0.126,0.016,SgF,table1.dat:83
G032.79+00.19,5.25883,0.13892,0.03234,0.103,0.031,Per,table1.dat:84
G033.09-00.07,4.07455,2.04783,-0.00950,0.134,0.016,ScF,table1.dat:85
G033.39+00.00,4.87064,0.91139,0.00153,0.113,0.029,ScF,table1.dat:86
G033.64-00.22,4.22892,1.94492,-0.03034,0.131,0.020,SgF,table1.dat:87
G034.41+00.23,1.66213,5.87355,0.01206,0.340,0.011,SgN,table1.dat:88
G034.79-01.38,1.49717,6.14516,-0.06351,0.381,0.020,SgN,table1.dat:89
G035.02+00.34,1.33470,6.39561,0.01419,0.430,0.040,SgN,table1.dat:90
G035.19-00.74,1.26391,6.50810,-0.02845,0.456,0.045,SgN,table1.dat:91
G035.20-01.73,1.39847,6.31756,-0.07355,0.412,0.014,SgN,table1.dat:92
G035.79-00.17,5.17568,1.12182,-0.02698,0.113,0.013,SgF,table1.dat:93
G036.11+00.55,2.39586,5.01627,0.03919,0.246,0.056,AqS,table1.dat:94
G037.42+01.51,1.14205,6.80785,0.04977,0.532,0.021,SgN,table1.dat:95
G037.47-00.10,6.91443,-0.71790,-0.02078,0.088,0.030,SgF,table1.dat:96
G038.03-00.30,6.48599,0.00951,-0.05517,0.095,0.022,SgF,table1.dat:97
G038.11-00.22,2.55079,5.04907,-0.01651,0.242,0.035,AqS,table1.dat:98
G040.28-00.21,2.17691,5.73142,-0.01289,0.297,0.019,AqS,table1.dat:99
G040.42+00.70,8.31288,-1.45895,0.15666,0.078,0.013,Per,table1.dat:100
G040.62-00.13,8.13839,-1.18766,-0.03018,0.080,0.021,Per,table1.dat:101
G041.15-00.20,5.26486,2.27667,-0.02805,0.125,0.018,SgF,table1.dat:102
G041.22-00.19,5.83210,1.64415,-0.03046,0.113,0.022,SgF,table1.dat:103
G042.03+00.19,9.43061,-2.16111,0.04674,0.071,0.012,Per,table1.dat:104
G043.03-00.45,5.24971,2.67786,-0.06081,0.130,0.019,SgF,table1.dat:105
G043.16+00.01,7.60133,0.19589,0.00216,0.090,0.007,Per,table1.dat:106
G043.79-00.12,4.16918,3.95172,-0.01338,0.166,0.010,SgF,table1.dat:107
G043.89-00.78,5.17326,2.92239,-0.10216,0.134,0.013,SgF,table1.dat:108
G045.07+00.13,5.48824,2.82538,0.01791,0.129,0.007,SgF,table1.dat:109
G045.45+00.06,5.98906,2.40529,0.00879,0.119,0.017,SgF,table1.dat:110
G045.49+00.12,4.95250,3.43196,0.01522,0.144,0.024,SgF,table1.dat:111
G045.80-00.35,5.23319,3.21168,-0.04534,0.137,0.023,SgF,table1.dat:112
G048.60+00.02,8.06647,1.18999,0.00432,0.093,0.005,Per,table1.dat:113
G048.99-00.29,4.23924,4.61359,-0.02931,0.178,0.017,SgF,table1.dat:114
G049.04-01.07,4.60407,4.30380,-0.11480,0.164,0.022,SgN,table1.dat:115
G049.19-00.33,3.84198,4.98254,-0.02984,0.197,0.008,SgF,table1.dat:116
G049.26+00.31,6.70554,2.52522,0.04806,0.113,0.016,Per,table1.dat:117
G049.34+00.41,3.14803,5.59697,0.02988,0.241,0.031,SgF,table1.dat:118
G049.41+00.32,5.75331,3.37154,0.04307,0.132,0.031,Per,table1.dat:119
G049.48-00.36,3.89882,4.96885,-0.03302,0.195,0.071,SgN,table1.dat:120
G049.48-00.38,4.10950,4.78872,-0.03661,0.185,0.010,SgN,table1.dat:121
G049.59-00.24,3.49323,5.32696,-0.01998,0.218,0.009,SgF,table1.dat:122
G052.10+01.04,4.78157,4.57772,0.11029,0.165,0.013,SgF,table1.dat:123
G054.10-00.08,3.50711,5.76220,-0.00614,0.231,0.031,LoS,table1.dat:124
G058.77+00.64,2.85981,6.56632,0.03760,0.299,0.040,LoS,table1.dat:125
G059.47-00.18,1.61015,7.35071,-0.00606,0.535,0.024,LoS,table1.dat:126
G059.78+00.06,1.86636,7.21300,0.00244,0.463,0.020,LoS,table1.dat:127
